family,method,n_seeds,mean_cost,mean_cost_sd,mean_regret,mean_regret_sd,cvar95_regret,cvar95_regret_sd,worst_regret,worst_regret_sd,worst_cost,worst_cost_sd,root_action_counts,all_worlds_satisfied
random_hub_m8,Worst absolute cost,10,30.0,1.6747652892626934e-15,23.956052947517527,0.3297379873632711,26.90684060616855,0.5202931894126309,26.90684060616855,0.5202931894126309,30.0,0.0,{'g': 10},True
random_hub_m8,Minimax regret,10,30.0,1.6747652892626934e-15,23.956052947517527,0.3297379873632711,26.90684060616855,0.5202931894126309,26.90684060616855,0.5202931894126309,30.0,0.0,{'g': 10},True
random_hub_m8,Expected cost / regret,10,18.165517234085,1.0510925850951658,12.12157018160253,1.0073779383076704,30.864935783142442,1.0263957351628676,30.864935783142442,1.0263957351628676,34.80965232536419,0.42921241139364386,"{'u0': 4, 'u1': 5, 'u2': 1}",True
random_hub_m8,Dynamic CVaR cost a=0.5,10,30.0,1.6747652892626934e-15,23.956052947517527,0.3297379873632711,26.90684060616855,0.5202931894126309,26.90684060616855,0.5202931894126309,30.0,0.0,{'g': 10},True
random_hub_m8,Proposed dynamic CVaR regret a=0.5,10,30.0,1.6747652892626934e-15,23.956052947517527,0.3297379873632711,26.90684060616855,0.5202931894126309,26.90684060616855,0.5202931894126309,30.0,0.0,{'g': 10},True
intel_map_scLTL,Worst absolute cost,1,25.88281914833096,0.0,3.8018841514703317,0.0,6.360811250144799,0.0,6.360811250144799,0.0,25.88281914833096,0.0,{'bl': 1},True
intel_map_scLTL,Minimax regret,1,25.88281914833096,0.0,3.8018841514703317,0.0,6.360811250144799,0.0,6.360811250144799,0.0,25.88281914833096,0.0,{'bl': 1},True
intel_map_scLTL,Expected cost / regret,1,25.492930410188293,0.0,3.4119954133276647,0.0,6.78291306211209,0.0,6.78291306211209,0.0,28.282819148330958,0.0,{'d0': 1},True
intel_map_scLTL,Dynamic CVaR cost a=0.5,1,25.88281914833096,0.0,3.8018841514703317,0.0,6.360811250144799,0.0,6.360811250144799,0.0,25.88281914833096,0.0,{'bl': 1},True
intel_map_scLTL,Proposed dynamic CVaR regret a=0.5,1,25.858152352276782,0.0,3.7772173554161546,0.0,6.406562630430727,0.0,6.406562630430727,0.0,28.282819148330958,0.0,{'d0': 1},True
