seed,m,worlds,H,planning_alpha,root_action,dynamic_objective,exact_mean_cost,exact_mean_regret,exact_var95_regret,exact_cvar95_regret,exact_worst_regret,exact_satisfaction_all_worlds
0,8,256,5,0.0,u0,11.643875541636206,18.14442194784038,11.6438755416362,30.12800739830832,30.12800739830832,30.12800739830832,1
0,8,256,5,0.25,u0,22.47857704190126,18.14442194784038,11.6438755416362,30.12800739830832,30.12800739830832,30.12800739830832,1
0,8,256,5,0.5,g,25.51226608891777,30.0,23.49945359379582,25.68342325518909,25.68342325518909,25.68342325518909,1
0,8,256,5,0.75,g,25.68342325518909,30.0,23.49945359379582,25.68342325518909,25.68342325518909,25.68342325518909,1
0,8,256,5,0.9,g,25.68342325518909,30.0,23.49945359379582,25.68342325518909,25.68342325518909,25.68342325518909,1
1,8,256,5,0.0,u1,11.800162693416802,18.193559080235463,11.800162693416805,31.514435454248062,31.514435454248062,31.514435454248062,1
1,8,256,5,0.25,u1,22.461044734155813,18.193559080235463,11.800162693416805,31.514435454248062,31.514435454248062,31.514435454248062,1
1,8,256,5,0.5,g,26.0868021892908,30.000000000000004,23.606603613181345,26.76093070252743,26.76093070252743,26.76093070252743,1
1,8,256,5,0.75,g,26.716588618631746,30.000000000000004,23.606603613181345,26.76093070252743,26.76093070252743,26.76093070252743,1
1,8,256,5,0.9,g,26.760930702527432,30.000000000000004,23.606603613181345,26.76093070252743,26.76093070252743,26.76093070252743,1
2,8,256,5,0.0,u1,10.364003144426277,16.15256103320772,10.364003144426274,30.19183260931564,30.19183260931564,30.19183260931564,1
2,8,256,5,0.25,u1,19.990358991576073,16.15256103320772,10.364003144426274,30.19183260931564,30.19183260931564,30.19183260931564,1
2,8,256,5,0.5,g,26.86588512397077,30.0,24.211442111218552,26.90825519380082,26.90825519380082,26.90825519380082,1
2,8,256,5,0.75,g,26.90825519380082,30.0,24.211442111218552,26.90825519380082,26.90825519380082,26.90825519380082,1
2,8,256,5,0.9,g,26.90825519380082,30.0,24.211442111218552,26.90825519380082,26.90825519380082,26.90825519380082,1
3,8,256,5,0.0,u1,13.391214690585144,19.34544917077912,13.391214690585137,32.39803925964792,32.39803925964792,32.39803925964792,1
3,8,256,5,0.25,u7,25.41222982064251,19.95540035942251,14.001165879228529,32.35268512260024,32.35268512260024,32.35268512260024,1
3,8,256,5,0.5,g,26.99034451884031,30.0,24.045765519806018,27.43286024486371,27.43286024486371,27.43286024486371,1
3,8,256,5,0.75,g,27.43286024486371,30.0,24.045765519806018,27.43286024486371,27.43286024486371,27.43286024486371,1
3,8,256,5,0.9,g,27.43286024486371,30.0,24.045765519806018,27.43286024486371,27.43286024486371,27.43286024486371,1
4,8,256,5,0.0,u2,13.005326206176868,19.030781255894986,13.005326206176864,31.00295709178295,31.00295709178295,31.00295709178295,1
4,8,256,5,0.25,u6,24.844877151043747,19.921371361833547,13.895916312115425,32.14288328305812,32.14288328305812,32.14288328305812,1
4,8,256,5,0.5,g,26.683180030144037,30.000000000000004,23.974544950281878,26.732038056328857,26.732038056328857,26.732038056328857,1
