family,m,seed,H,factored_policy_entries,explicit_policy_entries,policy_key_sets_equal,different_action_entries,full_computed_policy_map_equal,value_abs_error
hub,8,0,3,33,33,1,0,1,0.0
hub,8,1,3,33,33,1,0,1,0.0
hub,8,2,3,33,33,1,0,1,0.0
hub,8,3,3,33,33,1,0,1,0.0
hub,8,4,3,33,33,1,0,1,0.0
hub,10,0,3,41,41,1,0,1,0.0
hub,10,1,3,41,41,1,0,1,0.0
hub,10,2,3,41,41,1,0,1,0.0
hub,10,3,3,41,41,1,0,1,0.0
hub,10,4,3,41,41,1,0,1,0.0
layered,8,0,6,239,239,1,0,1,3.552713678800501e-15
layered,8,1,6,195,195,1,0,1,0.0
layered,8,2,6,251,251,1,0,1,3.552713678800501e-15
layered,8,3,6,259,259,1,0,1,0.0
layered,8,4,6,167,167,1,0,1,0.0
layered,10,0,7,805,805,1,0,1,3.552713678800501e-15
layered,10,1,7,475,475,1,0,1,3.552713678800501e-15
layered,10,2,7,821,821,1,0,1,7.105427357601002e-15
layered,10,3,7,717,717,1,0,1,0.0
layered,10,4,7,429,429,1,0,1,0.0
layered,12,0,8,2707,2707,1,0,1,0.0
