family,m,seed,worlds,method,generated_agent_states,generated_observation_branches,value_state_budgets,pruned_actions,oracle_shortest_path_calls,oracle_symbolic_nodes
hub,8,0,256,factored,274,297,33,0,68,133
hub,8,0,256,explicit,274,297,33,0,256,256
hub,8,1,256,factored,274,297,33,0,68,133
hub,8,1,256,explicit,274,297,33,0,256,256
hub,8,2,256,factored,274,297,33,0,68,129
hub,8,2,256,explicit,274,297,33,0,256,256
hub,8,3,256,factored,274,297,33,0,68,129
hub,8,3,256,explicit,274,297,33,0,256,256
hub,8,4,256,factored,274,297,33,0,68,129
hub,8,4,256,explicit,274,297,33,0,256,256
hub,10,0,1024,factored,422,451,41,0,130,249
hub,10,0,1024,explicit,422,451,41,0,1024,1024
hub,10,1,1024,factored,422,451,41,0,114,217
hub,10,1,1024,explicit,422,451,41,0,1024,1024
hub,10,2,1024,factored,422,451,41,0,124,237
hub,10,2,1024,explicit,422,451,41,0,1024,1024
hub,10,3,1024,factored,422,451,41,0,106,201
hub,10,3,1024,explicit,422,451,41,0,1024,1024
hub,10,4,1024,factored,422,451,41,0,122,233
hub,10,4,1024,explicit,422,451,41,0,1024,1024
layered,8,0,256,factored,341,382,239,0,256,790
layered,8,0,256,explicit,341,382,239,0,256,256
layered,8,1,256,factored,277,310,195,0,204,348
layered,8,1,256,explicit,277,310,195,0,256,256
layered,8,2,256,factored,341,428,251,0,246,746
layered,8,2,256,explicit,341,428,251,0,256,256
layered,8,3,256,factored,357,440,259,0,246,799
layered,8,3,256,explicit,357,440,259,0,256,256
layered,8,4,256,factored,233,272,167,0,248,846
layered,8,4,256,explicit,233,272,167,0,256,256
layered,10,0,1024,factored,1115,1338,805,0,1024,4292
layered,10,0,1024,explicit,1115,1338,805,0,1024,1024
layered,10,1,1024,factored,673,754,475,0,534,1232
layered,10,1,1024,explicit,673,754,475,0,1024,1024
layered,10,2,1024,factored,1137,1390,821,0,1024,4087
layered,10,2,1024,explicit,1137,1390,821,0,1024,1024
layered,10,3,1024,factored,1037,1174,717,0,1024,4296
layered,10,3,1024,explicit,1037,1174,717,0,1024,1024
layered,10,4,1024,factored,613,690,429,0,1002,3982
layered,10,4,1024,explicit,613,690,429,0,1024,1024
