family,m,seed,worlds,explicit_posterior_mass_entries,explicit_posterior_states,factored_probability_entries,factored_mode_posterior_states,factored_marginal_queries,posterior_entry_reduction_x
hub,8,0,256,2304,17,434,129,169,5.308755760368664
hub,8,1,256,2304,17,434,129,169,5.308755760368664
hub,8,2,256,2304,17,434,129,169,5.308755760368664
hub,8,3,256,2304,17,434,129,169,5.308755760368664
hub,8,4,256,2304,17,434,129,169,5.308755760368664
hub,10,0,1024,11264,21,662,201,251,17.01510574018127
hub,10,1,1024,11264,21,662,201,251,17.01510574018127
hub,10,2,1024,11264,21,662,201,251,17.01510574018127
hub,10,3,1024,11264,21,662,201,251,17.01510574018127
hub,10,4,1024,11264,21,662,201,251,17.01510574018127
layered,8,0,256,4480,137,477,137,272,9.39203354297694
layered,8,1,256,3968,113,389,113,220,10.20051413881748
layered,8,2,256,3584,113,453,113,284,7.911699779249449
layered,8,3,256,3840,121,477,121,296,8.050314465408805
layered,8,4,256,3328,89,321,89,188,10.367601246105918
layered,10,0,1024,30208,405,1519,405,912,19.886767610269914
layered,10,1,1024,23552,277,949,277,534,24.817702845100104
layered,10,2,1024,26112,389,1525,389,942,17.12262295081967
layered,10,3,1024,27136,397,1433,397,838,18.936496859734824
layered,10,4,1024,21504,245,857,245,490,25.09218203033839
