seed,p_open,alpha,cost_root_action,regret_root_action,root_action_disagree,behavior_disagree,behavior_disagreement_world_fraction,behavior_disagreement_prior_mass,cost_mean_cost,cost_mean_regret,cost_cvar95_regret,cost_worst_regret,cost_worst_cost,regret_mean_cost,regret_mean_regret,regret_cvar95_regret,regret_worst_regret,regret_worst_cost,delta_mean_cost_regret_minus_cost,delta_mean_regret_regret_minus_cost,delta_cvar95_regret_regret_minus_cost,delta_worst_regret_regret_minus_cost,delta_worst_cost_regret_minus_cost
0,0.1,0.25,g,g,0,0,0.0,0.0,30.0,14.14498967394668,25.68342325518909,25.68342325518909,30.0,30.0,14.14498967394668,25.68342325518909,25.68342325518909,30.0,0.0,0.0,0.0,0.0,0.0
0,0.1,0.5,g,g,0,0,0.0,0.0,30.0,14.14498967394668,25.68342325518909,25.68342325518909,30.0,30.0,14.14498967394668,25.68342325518909,25.68342325518909,30.0,0.0,0.0,0.0,0.0,0.0
0,0.1,0.75,g,g,0,0,0.0,0.0,30.0,14.14498967394668,25.68342325518909,25.68342325518909,30.0,30.0,14.14498967394668,25.68342325518909,25.68342325518909,30.0,0.0,0.0,0.0,0.0,0.0
0,0.1,0.9,g,g,0,0,0.0,0.0,30.0,14.14498967394668,25.68342325518909,25.68342325518909,30.0,30.0,14.14498967394668,25.68342325518909,25.68342325518909,30.0,0.0,0.0,0.0,0.0,0.0
0,0.3,0.25,u0,u0,0,0,0.0,0.0,18.874239189248705,12.300635232710405,30.12800739830832,30.12800739830832,35.2573657828158,18.874239189248705,12.300635232710405,30.12800739830832,30.12800739830832,35.2573657828158,0.0,0.0,0.0,0.0,0.0
0,0.3,0.5,g,g,0,0,0.0,0.0,30.000000000000004,23.4263960434617,25.68342325518909,25.68342325518909,30.0,30.000000000000004,23.4263960434617,25.68342325518909,25.68342325518909,30.0,0.0,0.0,0.0,0.0,0.0
0,0.3,0.75,g,g,0,0,0.0,0.0,30.000000000000004,23.4263960434617,25.68342325518909,25.68342325518909,30.0,30.000000000000004,23.4263960434617,25.68342325518909,25.68342325518909,30.0,0.0,0.0,0.0,0.0,0.0
0,0.3,0.9,g,g,0,0,0.0,0.0,30.000000000000004,23.4263960434617,25.68342325518909,25.68342325518909,30.0,30.000000000000004,23.4263960434617,25.68342325518909,25.68342325518909,30.0,0.0,0.0,0.0,0.0,0.0
0,0.5,0.25,u0,u0,0,0,0.0,0.0,11.908075838967227,7.057464215415352,30.12800739830832,30.12800739830832,35.2573657828158,11.908075838967227,7.057464215415352,30.12800739830832,30.12800739830832,35.2573657828158,0.0,0.0,0.0,0.0,0.0
0,0.5,0.5,g,g,0,0,0.0,0.0,30.000000000000004,25.14938837644813,25.68342325518909,25.68342325518909,30.0,30.000000000000004,25.14938837644813,25.68342325518909,25.68342325518909,30.0,0.0,0.0,0.0,0.0,0.0
