alpha,p_open,instances,behavior_disagreement_rate,root_action_disagreement_rate,mean_disagreement_prior_mass,conditional_disagreement_prior_mass,disagreement_delta_mean_cost,disagreement_delta_mean_regret,disagreement_delta_cvar95_regret,disagreement_delta_worst_regret,disagreement_delta_worst_cost
0.25,0.1,10,0.5,0.5,0.5000000000000001,1.0000000000000002,-2.3739800546809375,-2.3739800546809375,3.122019751003724,3.217403914728913,4.173004163602779
0.25,0.3,10,0.5,0.4,0.46537704964165627,0.9307540992833125,-2.407145361215111,-2.40714536121511,0.5470485680194791,0.5470485680194791,1.1087073504076401
0.25,0.5,10,0.3,0.2,0.24877098305110304,0.8292366101703434,-0.28112475023153394,-0.28112475023153366,-1.8520756343666431,-1.8520756343666431,-0.15160771077487092
0.25,0.7,10,0.2,0.1,0.13126688068604955,0.6563344034302477,-0.08899869051191844,-0.08899869051191867,-0.3115944129466168,-0.3115944129466168,0.16996822540212264
0.25,0.9,10,0.1,0.1,0.1,1.0,-0.035635195339216885,-0.035635195339216774,0.4415168205358242,0.0,0.0
0.5,0.1,10,0.4,0.4,0.4000000000000001,1.0000000000000002,-1.9215979497694535,-1.921597949769454,4.5748997869050525,4.5748997869050525,4.604023458879121
0.5,0.3,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.5,0.5,10,0.3,0.3,0.3,1.0,-16.41897830164282,-16.41897830164282,1.2851431337068544,1.2851431337068544,4.1484441074904455
0.5,0.7,10,0.3,0.2,0.22877098305110294,0.7625699435036765,-0.5481432253877045,-0.5481432253877044,-1.9466863045233513,-1.9786265088086108,-0.2781585852168386
0.5,0.9,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.75,0.1,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.75,0.3,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.75,0.5,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.75,0.7,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.75,0.9,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.9,0.1,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.9,0.3,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.9,0.5,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.9,0.7,10,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan
0.9,0.9,10,0.1,0.0,0.006555781484749512,0.06555781484749512,-0.15898384712280134,-0.1589838471228014,-2.362604432718702,-0.028715816687256535,0.1934308286704649
