alpha,p_open,instances,full_policy_disagreement_rate,root_action_disagreement_rate,mean_delta_mean_cost,mean_delta_mean_regret,mean_delta_cvar95_regret,mean_delta_worst_regret,mean_delta_worst_cost,disagreement_mean_delta_mean_cost,disagreement_mean_delta_mean_regret,disagreement_mean_delta_cvar95_regret,disagreement_mean_delta_worst_regret,disagreement_mean_delta_worst_cost
0.25,0.1,10,1.0,0.5,-1.1869900273404688,-1.1869900273404688,1.561009875501862,1.6087019573644565,2.0865020818013895,-1.1869900273404688,-1.1869900273404688,1.561009875501862,1.6087019573644565,2.0865020818013895
0.25,0.3,10,1.0,0.4,-1.2035726806075555,-1.203572680607555,0.27352428400973955,0.27352428400973955,0.5543536752038201,-1.2035726806075555,-1.203572680607555,0.27352428400973955,0.27352428400973955,0.5543536752038201
0.25,0.5,10,1.0,0.2,-0.08433742506946018,-0.0843374250694601,-0.555622690309993,-0.555622690309993,-0.04548231323246128,-0.08433742506946018,-0.0843374250694601,-0.555622690309993,-0.555622690309993,-0.04548231323246128
0.25,0.7,10,1.0,0.1,-0.017799738102383687,-0.017799738102383732,-0.06231888258932337,-0.06231888258932337,0.03399364508042453,-0.017799738102383687,-0.017799738102383732,-0.06231888258932337,-0.06231888258932337,0.03399364508042453
0.25,0.9,10,1.0,0.1,-0.0035635195339216883,-0.0035635195339216775,0.04415168205358242,0.0,0.0,-0.0035635195339216883,-0.0035635195339216775,0.04415168205358242,0.0,0.0
0.5,0.1,10,1.0,0.4,-0.7686391799077814,-0.7686391799077816,1.829959914762021,1.829959914762021,1.8416093835516485,-0.7686391799077814,-0.7686391799077816,1.829959914762021,1.829959914762021,1.8416093835516485
0.5,0.3,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.5,10,1.0,0.3,-4.925693490492846,-4.925693490492845,0.38554294011205636,0.38554294011205636,1.2445332322471336,-4.925693490492846,-4.925693490492845,0.38554294011205636,0.38554294011205636,1.2445332322471336
0.5,0.7,10,1.0,0.2,-0.16444296761631136,-0.16444296761631133,-0.5840058913570054,-0.5935879526425832,-0.08344757556505158,-0.16444296761631136,-0.16444296761631133,-0.5840058913570054,-0.5935879526425832,-0.08344757556505158
0.5,0.9,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.1,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.3,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.5,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.7,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.1,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.3,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.5,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.7,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9,0.9,10,1.0,0.0,-0.015898384712280132,-0.01589838471228014,-0.23626044327187018,-0.0028715816687256536,0.01934308286704649,-0.015898384712280132,-0.01589838471228014,-0.23626044327187018,-0.0028715816687256536,0.01934308286704649
