family,instance_id,seed,method,original_objective,original_planning_alpha,common_objective,common_objective_planning_alpha,terminal_evaluation_statistic,terminal_evaluation_alpha,horizon,worlds,root_action,original_objective_value,expected_regret,static_cvar95_regret,worst_regret,common_proposed_nested_dynamic_regret,common_objective_gap_to_proposed,common_objective_optimal,hard_satisfaction_flag,exact_world_enumeration,frozen_raw_row_match
random_hub_m8,hub_seed_00,0,Worst absolute cost,worst_absolute_mission_cost,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,23.4994535938,25.6834232552,25.6834232552,25.5122660889,0,1,1,1,1
random_hub_m8,hub_seed_00,0,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,25.6834232552,23.4994535938,25.6834232552,25.6834232552,25.5122660889,0,1,1,1,1
random_hub_m8,hub_seed_00,0,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,u0,18.1444219478,11.6438755416,30.1280073983,30.1280073983,29.9426714815,4.4304053926,0,1,1,1
random_hub_m8,hub_seed_00,0,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,23.4994535938,25.6834232552,25.6834232552,25.5122660889,0,1,1,1,1
random_hub_m8,hub_seed_00,0,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,25.5122660889,23.4994535938,25.6834232552,25.6834232552,25.5122660889,0,1,1,1,1
random_hub_m8,hub_seed_01,1,Worst absolute cost,worst_absolute_mission_cost,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,23.6066036132,26.7609307025,26.7609307025,26.0868021893,0,1,1,1,1
random_hub_m8,hub_seed_01,1,Minimax regret,worst_hindsight_regret,,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,26.7609307025,23.6066036132,26.7609307025,26.7609307025,26.0868021893,0,1,1,1,1
random_hub_m8,hub_seed_01,1,Expected cost / regret,expected_absolute_cost_equiv_expected_regret,0,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,u1,18.1935590802,11.8001626934,31.5144354542,31.5144354542,30.0690560014,3.98225381216,0,1,1,1
random_hub_m8,hub_seed_01,1,Dynamic CVaR cost a=0.5,nested_dynamic_absolute_cost,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,30,23.6066036132,26.7609307025,26.7609307025,26.0868021893,0,1,1,1,1
random_hub_m8,hub_seed_01,1,Proposed dynamic CVaR regret a=0.5,nested_dynamic_hindsight_regret,0.5,proposed_nested_dynamic_hindsight_regret,0.5,static_terminal_cvar_regret,0.95,5,256,g,26.0868021893,23.6066036132,26.7609307025,26.7609307025,26.0868021893,0,1,1,1,1
