family,instance_id,benchmark_role,seed,state_count,unknown_variable_count,supported_world_count,dfa_state_count,prior_name,minimal_robust_rank,rank_minus_one_feasible,rank_feasible,reference_horizon,reference_horizon_relation,rank_search_limit,generated_agent_states,generated_env_actions,generated_observation_branches,exact_supported_world_enumeration
random_multishortcut,hub_m8_seed000,exact_risk_sweep_m8,0,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed001,exact_risk_sweep_m8,1,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed002,exact_risk_sweep_m8,2,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed003,exact_risk_sweep_m8,3,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed004,exact_risk_sweep_m8,4,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed005,exact_risk_sweep_m8,5,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed006,exact_risk_sweep_m8,6,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed007,exact_risk_sweep_m8,7,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed008,exact_risk_sweep_m8,8,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m8_seed009,exact_risk_sweep_m8,9,10,8,256,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,40,2,9,1,1
random_multishortcut,hub_m10_seed000,exact_risk_sweep_m10,0,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed001,exact_risk_sweep_m10,1,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed002,exact_risk_sweep_m10,2,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed003,exact_risk_sweep_m10,3,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed004,exact_risk_sweep_m10,4,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed005,exact_risk_sweep_m10,5,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed006,exact_risk_sweep_m10,6,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed007,exact_risk_sweep_m10,7,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed008,exact_risk_sweep_m10,8,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
random_multishortcut,hub_m10_seed009,exact_risk_sweep_m10,9,12,10,1024,2,independent_full_support_p0.50,1,0,1,5,conservative_by_4,48,2,11,1,1
distributed_layered,layered_L5_W2_seed000,controlled_layered_m8,0,12,8,256,2,independent_full_support_p0.30_jitter0.05,6,0,1,,not_recorded_for_this_compact_benchmark,48,76,67,75,1
distributed_layered,layered_L5_W2_seed001,controlled_layered_m8,1,12,8,256,2,independent_full_support_p0.30_jitter0.05,6,0,1,,not_recorded_for_this_compact_benchmark,48,71,63,70,1
distributed_layered,layered_L5_W2_seed002,controlled_layered_m8,2,12,8,256,2,independent_full_support_p0.30_jitter0.05,6,0,1,,not_recorded_for_this_compact_benchmark,48,72,72,71,1
distributed_layered,layered_L5_W2_seed003,controlled_layered_m8,3,12,8,256,2,independent_full_support_p0.30_jitter0.05,6,0,1,,not_recorded_for_this_compact_benchmark,48,72,72,71,1
distributed_layered,layered_L5_W2_seed004,controlled_layered_m8,4,12,8,256,2,independent_full_support_p0.30_jitter0.05,6,0,1,,not_recorded_for_this_compact_benchmark,48,64,59,63,1
distributed_layered,layered_L6_W2_seed000,controlled_layered_m10,0,14,10,1024,2,independent_full_support_p0.30_jitter0.05,7,0,1,,not_recorded_for_this_compact_benchmark,56,142,129,141,1
distributed_layered,layered_L6_W2_seed001,controlled_layered_m10,1,14,10,1024,2,independent_full_support_p0.30_jitter0.05,7,0,1,,not_recorded_for_this_compact_benchmark,56,131,121,130,1
distributed_layered,layered_L6_W2_seed002,controlled_layered_m10,2,14,10,1024,2,independent_full_support_p0.30_jitter0.05,7,0,1,,not_recorded_for_this_compact_benchmark,56,140,135,139,1
distributed_layered,layered_L6_W2_seed003,controlled_layered_m10,3,14,10,1024,2,independent_full_support_p0.30_jitter0.05,7,0,1,,not_recorded_for_this_compact_benchmark,56,138,133,137,1
distributed_layered,layered_L6_W2_seed004,controlled_layered_m10,4,14,10,1024,2,independent_full_support_p0.30_jitter0.05,7,0,1,,not_recorded_for_this_compact_benchmark,56,122,116,121,1
distributed_layered,layered_L7_W2_seed000,controlled_layered_m12_stress,0,16,12,4096,2,independent_full_support_p0.30_jitter0.05,8,0,1,,not_recorded_for_this_compact_benchmark,64,269,314,268,1
ordered_stage,ordered_k1_s2_seed000,fixed_graph_dfa_scan,0,4,2,4,2,independent_full_support_p0.30_jitter0.05,1,0,1,4,conservative_by_3,16,2,3,1,1
ordered_stage,ordered_k1_s2_seed001,fixed_graph_dfa_scan,1,4,2,4,2,independent_full_support_p0.30_jitter0.05,1,0,1,4,conservative_by_3,16,2,3,1,1
ordered_stage,ordered_k1_s2_seed002,fixed_graph_dfa_scan,2,4,2,4,2,independent_full_support_p0.30_jitter0.05,1,0,1,4,conservative_by_3,16,2,3,1,1
ordered_stage,ordered_k2_s2_seed000,fixed_graph_dfa_scan,0,8,4,16,3,independent_full_support_p0.30_jitter0.05,3,0,1,8,conservative_by_5,48,10,9,9,1
ordered_stage,ordered_k2_s2_seed001,fixed_graph_dfa_scan,1,8,4,16,3,independent_full_support_p0.30_jitter0.05,3,0,1,8,conservative_by_5,48,10,9,9,1
ordered_stage,ordered_k2_s2_seed002,fixed_graph_dfa_scan,2,8,4,16,3,independent_full_support_p0.30_jitter0.05,3,0,1,8,conservative_by_5,48,10,9,9,1
ordered_stage,ordered_k3_s2_seed000,fixed_graph_dfa_scan,0,12,6,64,4,independent_full_support_p0.30_jitter0.05,5,0,1,12,conservative_by_7,96,27,25,29,1
ordered_stage,ordered_k3_s2_seed001,fixed_graph_dfa_scan,1,12,6,64,4,independent_full_support_p0.30_jitter0.05,5,0,1,12,conservative_by_7,96,27,25,29,1
ordered_stage,ordered_k3_s2_seed002,fixed_graph_dfa_scan,2,12,6,64,4,independent_full_support_p0.30_jitter0.05,5,0,1,12,conservative_by_7,96,27,25,29,1
ordered_stage,ordered_k4_s2_seed000,fixed_graph_dfa_scan,0,16,8,256,5,independent_full_support_p0.30_jitter0.05,7,0,1,16,conservative_by_9,160,62,57,69,1
ordered_stage,ordered_k4_s2_seed001,fixed_graph_dfa_scan,1,16,8,256,5,independent_full_support_p0.30_jitter0.05,7,0,1,16,conservative_by_9,160,62,57,69,1
ordered_stage,ordered_k4_s2_seed002,fixed_graph_dfa_scan,2,16,8,256,5,independent_full_support_p0.30_jitter0.05,7,0,1,16,conservative_by_9,160,62,57,69,1
intel_lab_topological,intel_lab_full_support,map_derived_scltl,,15,5,32,4,two_mode_full_support,9,0,1,11,conservative_by_2,120,238,315,358,1
