scenario_id,scenario_class,perturbation_target,perturbation_value,alpha,horizon,nominal_support_world_count,true_support_world_count,support_expanded,nominal_zero_mass_true_world_count,nominal_zero_mass_true_prior_mass,total_variation_distance_from_nominal,true_good_mode_weight,local_state,local_open_offset,contamination_mass,nominal_policy_root_action,resynthesized_root_action,root_action_changed,nominal_policy_map_sha256,resynthesized_policy_map_sha256,nominal_policy_evaluation_status,nominal_policy_failure_reasons,nominal_policy_unsupported_world_count,nominal_policy_nested_objective_true_prior,resynthesized_nested_objective_true_prior,nested_objective_improvement_from_resynthesis,nominal_policy_mean_regret_true_prior,resynthesized_mean_regret_true_prior,nominal_policy_cvar95_regret_true_prior,resynthesized_cvar95_regret_true_prior,nominal_policy_worst_regret_true_prior,resynthesized_worst_regret_true_prior,nominal_policy_all_true_worlds_satisfied,nominal_policy_satisfied_true_prior_mass,resynthesized_all_true_worlds_satisfied,resynthesized_satisfied_true_prior_mass,hard_guarantee_retained_by_nominal_policy,exact_world_enumeration
nominal,nominal,none,0,0,11,32,32,0,0,0,0,0.55,,,0,d0,d0,0,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,complete,,0,3.41199541333,3.41199541333,0,3.41199541333,3.41199541333,6.78291306211,6.78291306211,6.78291306211,6.78291306211,1,1,1,1,1,1
mixture_good_0.35,prior_weight_error,good_mode_weight,-0.2,0,11,32,32,0,0,0,0.176371776,0.35,,,0,d0,bl,1,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,E306680DA651ADFDDF81BC1101426FA39DE41496199C29D6CBC48BE7C6C4FCA7,complete,,0,3.59532580307,3.08179854091,0.513527262155,3.59532580307,3.08179854091,6.78291306211,6.36081125014,6.78291306211,6.36081125014,1,1,1,1,1,1
mixture_good_0.45,prior_weight_error,good_mode_weight,-0.1,0,11,32,32,0,0,0,0.088185888,0.45,,,0,d0,bl,1,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,E306680DA651ADFDDF81BC1101426FA39DE41496199C29D6CBC48BE7C6C4FCA7,complete,,0,3.5036606082,3.44184134619,0.0618192620063,3.5036606082,3.44184134619,6.78291306211,6.36081125014,6.78291306211,6.36081125014,1,1,1,1,1,1
mixture_good_0.65,prior_weight_error,good_mode_weight,0.1,0,11,32,32,0,0,0,0.088185888,0.65,,,0,d0,d0,0,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,complete,,0,3.32033021846,3.32033021846,0,3.32033021846,3.32033021846,6.78291306211,6.78291306211,6.78291306211,6.78291306211,1,1,1,1,1,1
mixture_good_0.75,prior_weight_error,good_mode_weight,0.2,0,11,32,32,0,0,0,0.176371776,0.75,,,0,d0,d0,0,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,complete,,0,3.22866502359,3.22866502359,0,3.22866502359,3.22866502359,6.78291306211,6.78291306211,6.78291306211,6.78291306211,1,1,1,1,1,1
local_d0_minus_0.10,prior_weight_error,d0_open_probability,-0.1,0,11,32,32,0,0,0,0.1,0.55,d0,-0.1,0,d0,bl,1,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,E306680DA651ADFDDF81BC1101426FA39DE41496199C29D6CBC48BE7C6C4FCA7,complete,,0,3.59299758265,3.5664592895,0.0265382931558,3.59299758265,3.5664592895,6.78291306211,6.36081125014,6.78291306211,6.36081125014,1,1,1,1,1,1
local_d0_plus_0.10,prior_weight_error,d0_open_probability,0.1,0,11,32,32,0,0,0,0.1,0.55,d0,0.1,0,d0,d0,0,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,complete,,0,3.230993244,3.230993244,0,3.230993244,3.230993244,6.78291306211,6.78291306211,6.78291306211,6.78291306211,1,1,1,1,1,1
local_d1_minus_0.10,prior_weight_error,d1_open_probability,-0.1,0,11,32,32,0,0,0,0.1,0.55,d1,-0.1,0,d0,d0,0,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,60631441785E99E76D436F1B20E2716209F7293BE733AA96E4D968BE2B1DD89C,complete,,0,3.60458905818,3.41943177774,0.18515728044,3.60458905818,3.41943177774,6.78291306211,7.94511566422,6.78291306211,7.94511566422,1,1,1,1,1,1
local_d1_plus_0.10,prior_weight_error,d1_open_probability,0.1,0,11,32,32,0,0,0,0.1,0.55,d1,0.1,0,d0,d0,0,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,complete,,0,3.21940176848,3.21940176848,0,3.21940176848,3.21940176848,6.78291306211,6.78291306211,6.78291306211,6.78291306211,1,1,1,1,1,1
local_d2_minus_0.10,prior_weight_error,d2_open_probability,-0.1,0,11,32,32,0,0,0,0.1,0.55,d2,-0.1,0,d0,d0,0,C0D853929A0DAB7C8F11BE873737C7A016634087CE1D0A4D09C4010B9C458D3C,60631441785E99E76D436F1B20E2716209F7293BE733AA96E4D968BE2B1DD89C,complete,,0,3.49339927574,3.43622152832,0.0571777474188,3.49339927574,3.43622152832,6.78291306211,7.94511566422,6.78291306211,7.94511566422,1,1,1,1,1,1
