family,instance_id,non_hand_constructed,seed,prior_name,alpha,horizon,world_count,prior_probability_sum,static_candidates_considered,static_root_action,nested_root_action,root_action_difference,reachable_policy_difference,reachable_policy_difference_probability,common_reachable_information_state_count,common_reachable_action_difference_count,static_reachable_decision_history_count,static_action_mismatch_state_count,static_action_mismatch_probability,static_value_mismatch_state_count,static_value_mismatch_probability,max_static_conditional_cvar_improvement,static_root_cvar_regret,nested_root_dynamic_regret_value,exact_world_enumeration
intel_lab_topological,intel_lab_H9,0,,two_mode_full_support,0.25,9,32,1,2,bl,bl,0,0,0,9,0,9,0,0,0,0,0,4.85863554792,4.85863554792,1
intel_lab_topological,intel_lab_H9,0,,two_mode_full_support,0.5,9,32,1,2,bl,bl,0,0,0,9,0,9,0,0,0,0,0,5.7496931542,5.7496931542,1
intel_lab_topological,intel_lab_H9,0,,two_mode_full_support,0.75,9,32,1,2,bl,bl,0,0,0,9,0,9,0,0,0,0,0,6.36081125014,6.36081125014,1
intel_lab_topological,intel_lab_H9,0,,two_mode_full_support,0.9,9,32,1,2,bl,bl,0,0,0,9,0,9,0,0,0,0,0,6.36081125014,6.36081125014,1
intel_lab_topological,intel_lab_H11,0,,two_mode_full_support,0.25,11,32,1,185,d0,d0,0,1,0.3492,23,1,25,1,0.3492,6,0.51,0.572566954336,4.33884815807,4.48733652082,1
intel_lab_topological,intel_lab_H11,0,,two_mode_full_support,0.5,11,32,1,185,d0,d0,0,0,0,19,0,19,0,0,0,0,0,4.86863546657,5.64477689287,1
intel_lab_topological,intel_lab_H11,0,,two_mode_full_support,0.75,11,32,1,185,d0,d0,0,0,0,19,0,19,0,0,0,0,0,5.65905450612,6.13524882786,1
intel_lab_topological,intel_lab_H11,0,,two_mode_full_support,0.9,11,32,1,185,d0,bl,1,1,1,1,1,19,0,0,0,0,0,6.27670773602,6.36081125014,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.10,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,7.01033529733,7.5800779736,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.10,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,8.2247867915,9.07940080592,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.10,0.75,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,11.868141274,13.5773693029,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.10,0.9,5,8,1,142,u0,u0,0,1,0.9,4,1,7,0,0,0,0,0,22.7789095679,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.30,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,8.08435206184,11.982260768,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.30,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,11.1574857508,18.0753377998,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.30,0.75,5,8,1,142,u0,u0,0,1,0.7,4,1,7,1,0.7,2,0.7,0.0340222565438,17.80545969,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.30,0.9,5,8,1,142,u0,u0,0,0,0,4,0,4,0,0,0,0,0,24.7823589312,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.50,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,6.08391830227,9.2319940117,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.50,0.5,5,8,1,142,u0,u0,0,1,0.5,4,1,7,1,0.5,2,0.5,0.132884908922,9.12587745341,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.50,0.75,5,8,1,142,u0,u0,0,1,0.5,4,1,7,1,0.5,2,0.5,2.28891586241,15.8263535513,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.50,0.9,5,8,1,142,u0,u0,0,0,0,4,0,4,0,0,0,0,0,24.7823589312,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.70,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,3.08498775763,4.62894187542,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.70,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,4.62748163645,10.2553388231,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.70,0.75,5,8,1,142,u0,u0,0,1,0.3,4,1,7,0,0,0,0,0,8.79645998359,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.70,0.9,5,8,1,142,u0,u0,0,1,0.3,4,1,7,1,0.3,2,0.3,2.17634905741,18.5523752891,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.90,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,0.605219494695,0.744178931402,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.90,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,0.907829242043,1.445150951,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.90,0.75,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,1.81565848409,4.86359722536,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,independent_p0.90,0.9,5,8,1,142,u0,u0,0,1,0.1,4,1,7,0,0,0,0,0,4.53914621021,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,correlated_two_mode,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,4.99033721848,6.85952164704,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,correlated_two_mode,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,7.17483523194,11.3184523171,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,correlated_two_mode,0.75,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,10.3087276114,18.0554723253,1
random_multishortcut_m3,random_multishortcut_m3_seed000,1,0,correlated_two_mode,0.9,5,8,1,142,u0,u0,0,1,0.567757550058,4,1,7,1,0.567757550058,2,0.567757550058,2.28891586241,18.899670565,24.7823589312,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.10,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,6.94139803066,7.50939216852,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.10,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,8.15212237715,9.00411358394,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.10,0.75,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,11.7842954166,13.4882778302,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.10,0.9,5,8,1,142,u0,u0,0,1,0.9,4,1,7,0,0,0,0,0,22.3682753581,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.30,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,1,0.7,2,0.7,0.028087152514,8.04034907594,11.8980512976,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.30,0.5,5,8,1,142,u0,u0,0,1,0.7,4,1,7,1,0.7,2,0.7,0.00785289871266,11.0823763984,17.8239647417,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.30,0.75,5,8,1,142,u0,u0,0,1,0.7,4,1,7,0,0,0,0,0,17.5642898493,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.30,0.9,5,8,1,142,u0,u0,0,0,0,4,0,4,0,0,0,0,0,24.6948046364,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.50,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,5.97799690345,9.06826432673,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.50,0.5,5,8,1,142,u0,u0,0,1,0.5,4,1,7,0,0,0,0,0,8.96699535518,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.50,0.75,5,8,1,142,u0,u0,0,1,0.5,4,1,7,1,0.5,2,0.5,1.78498985089,15.6600073052,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.50,0.9,5,8,1,142,u0,u0,0,0,0,4,0,4,0,0,0,0,0,24.6948046364,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.70,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,3.0352660148,4.55170100864,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.70,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,4.5528990222,10.0784820327,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.70,0.75,5,8,1,142,u0,u0,0,1,0.3,4,1,7,0,0,0,0,0,8.65100136337,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.70,0.9,5,8,1,142,u0,u0,0,1,0.3,4,1,7,1,0.3,2,0.3,1.78498985089,18.2165283008,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.90,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,0.597089169292,0.733523317698,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.90,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,0.895633753937,1.42302912431,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.90,0.75,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,1.79126750787,4.78252313519,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,independent_p0.90,0.9,5,8,1,142,u0,u0,0,1,0.1,4,1,7,0,0,0,0,0,4.47816876969,24.6948046364,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,correlated_two_mode,0.25,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,3.71094710414,5.09792958402,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,correlated_two_mode,0.5,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,5.5664206562,10.9812740633,1
random_multishortcut_m3,random_multishortcut_m3_seed001,1,1,correlated_two_mode,0.75,5,8,1,142,u0,u0,0,0,0,7,0,7,0,0,0,0,0,9.00124024529,21.0741679189,1
